category,id,short,long,user,logo,link,publink,description,resource_type,scientific_purpose,taxonomic_coverage,realm_and_geographic_coverage,spatial_representation_and_resolution,temporal_extent_and_resolution,data_types_and_scales,data_origin_and_lineage,access,license,version_updates,strengths,limitations,recommended_use,prominence,publication,audit
Modern species occurrences and observations,,BIEN,Botanical Information and Ecology Network,core,bien_logo_notext-1.png,https://bien.nceas.ucsb.edu/bien/,,"Versioned plant-data infrastructure integrating occurrences, vegetation plots, taxonomy and trait observations.",primary database or curated data infrastructure,"Australian data discovery, biosecurity, conservation, modelling and publication.",All Australian taxa.,mixed or not inherently biological; spatial extent: continental or regional; geography: Australia.,Australia and territories.; Occurrence points and varied spatial layers.,Historical collections to present.; Occurrence and event level.,"Occurrences, checklists, images, projects and environmental layers.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.",Compiled from the origins described in the resource documentation and lineage note. Australian GBIF node and source of Living Atlases software; substantial GBIF overlap.,"Portal, APIs, downloads and Living Atlas tools.; formats: Darwin Core; CSV; JSON; GIS.; interface: See the official resource documentation for current programmatic interfaces.","Dataset-specific licences, often CC BY or CC0.; registration: Not reported in the baseline catalogue.",Actively maintained.,Rich national context and spatial tools.,Regional scope and duplicate records with GBIF. Not reported.,"Australian data discovery, biosecurity, conservation, modelling and publication.","Leading national infrastructure.; evidence: high for official fields, otherwise as stated in the verification note",Belbin et al. Atlas of Living Australia.,retained and standardised; verified 2026-07-14.
Modern species occurrences and observations,,eBird,eBird,core,ebird.svg,https://ebird.org/data/download,,"Global citizen-science bird observation programme based on complete checklists, effort metadata and expert review.",primary database or curated data infrastructure,"Plant macroecology, floristics, traits, SDMs and communities.","Land plants, especially vascular plants.","terrestrial; spatial extent: global; geography: Global, uneven.","Global, historically strongest in the Americas.; Occurrence points, plots and trait records.","Historical collections to present.; Record, plot and trait-measurement level.","Occurrences, plots, traits, taxonomy and validation fields.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.","Compiled from the origins described in the resource documentation and lineage note. Harmonises herbaria, plots, citizen science and traits under a shared taxonomy.","Web queries, database extracts and R package.; formats: CSV; database tables; R outputs.; interface: See the official resource documentation for current programmatic interfaces.",Source-specific terms and attribution.; registration: Not reported in the baseline catalogue.,Actively maintained and versioned.,Auditable taxonomic and geographic validation across data classes.,"Source duplication, spatial bias and some restricted contributions. Not reported.","Plant macroecology, floristics, traits, SDMs and communities.","Major integrated plant infrastructure.; evidence: high for official fields, otherwise as stated in the verification note",Maitner et al. BIEN R package and infrastructure.,retained and standardised; verified 2026-07-14.
Modern species occurrences and observations,,GBIF,Global Biodiversity Information Facility,core,gbif.jpg,https://www.gbif.org/,,"International infrastructure aggregating specimens, observations, sampling events and checklists under biodiversity data standards.",primary database or curated data infrastructure,"Distribution, migration, phenology, abundance, occupancy and trends.",Birds.,"marine, freshwater, terrestrial; spatial extent: global; geography: Global, participation-biased.","Global terrestrial, freshwater and marine.; Checklist sites, routes and travel areas.","2002 to present, with some historical imports.; Event and checklist, often daily.","Species observations, counts, effort, protocols and media links.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.",Compiled from the origins described in the resource documentation and lineage note. Raw data feed eBird Status and Trends and are selectively shared through GBIF.,"Download request, API and derived products.; formats: EBD tabular files; CSV; spatial products.; interface: See the official resource documentation for current programmatic interfaces.",Free research use under eBird terms; redistribution and sensitive records restricted.; registration: Not reported in the baseline catalogue.,Actively maintained.,Standardised effort metadata and immense global volume.,Observer/accessibility bias; absence inference needs checklist filtering. Not reported.,"Distribution, migration, phenology, abundance, occupancy and trends.","Foundational taxon-specific infrastructure.; evidence: high for official fields, otherwise as stated in the verification note",Sullivan et al. eBird.,retained and standardised; verified 2026-07-14.
Modern species occurrences and observations,,iNaturalist,iNaturalist,core,inaturalist.svg,https://www.inaturalist.org/observations/export,,"Crowdsourced georeferenced observations with photographs, sounds and community identifications.",primary database or curated data infrastructure,"Species-distribution modelling, inventories, range change, conservation assessment and data discovery.",All biological groups represented by contributing publishers; coverage is not taxonomically complete.,"marine, freshwater, terrestrial; spatial extent: global; geography: Global, with major taxonomic and geographic biases.","Global across terrestrial, freshwater and marine realms.; Point occurrences, events, polygons and imprecise locality records.",Historical collections to near-real-time observations.; Individual occurrence or sampling event.,"Occurrences, events, checklists, metadata, multimedia and DNA-derived records.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.","Compiled from the origins described in the resource documentation and lineage note. Aggregator of museums, citizen science, national portals and research datasets; upstream of many derived products.","Web portal, APIs, SQL occurrence cubes, cloud snapshots and R/Python clients.; formats: Darwin Core Archive; CSV; JSON; Parquet.; interface: See the official resource documentation for current programmatic interfaces.","Dataset-specific CC0, CC BY or CC BY-NC; downloads receive citable DOIs.; registration: Not reported in the baseline catalogue.",Actively maintained and continuously updated.,"Largest interoperable occurrence infrastructure, strong provenance and APIs.","Not a designed survey; duplicates, coordinate errors and observation bias require filtering. Not reported.","Species-distribution modelling, inventories, range change, conservation assessment and data discovery.","Foundational global infrastructure.; evidence: high for official fields, otherwise as stated in the verification note",GBIF infrastructure documentation and data-use literature.,retained and standardised; verified 2026-07-14.
Modern species occurrences and observations,,IBP,India Biodiversity Portal,core,biodiversity_india.webp,https://indiabiodiversity.org/,,"Participatory Indian biodiversity portal integrating species pages, observations, maps and citizen-science groups.",primary database or curated data infrastructure,"Range expansion, phenology, invasive species and rapid inventories.",Observable taxa across kingdoms.,"mixed or not inherently biological; spatial extent: global; geography: Global, concentrated near populated accessible places.","Global.; Point locations, sometimes obscured.",2008 to present with occasional historical observations.; Individual observation.,"Observations, identifications, images, sounds and annotations.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.",Compiled from the origins described in the resource documentation and lineage note. Research-grade observations are regularly published to GBIF.,"Web portal, API and exports.; formats: CSV; JSON; media.; interface: See the official resource documentation for current programmatic interfaces.",User-selected licences; GBIF export follows record licences.; registration: Not reported in the baseline catalogue.,Actively maintained.,Rapid image-supported mobilisation and broad taxa.,"Opportunistic effort, uneven expertise and coordinate obscuration. Not reported.","Range expansion, phenology, invasive species and rapid inventories.","Very widely used citizen science.; evidence: high for official fields, otherwise as stated in the verification note",iNaturalist platform research papers.,retained and standardised; verified 2026-07-14.
Modern species occurrences and observations,,iDigBio,Integrated Digitized Biocollections,core,idigbio_logo_0.png,https://www.idigbio.org/portal/search,,"US national infrastructure for digitised natural-history specimens, media and collection metadata.",primary database or curated data infrastructure,"Indian biodiversity documentation, citizen science and conservation.","Indian plants, animals, fungi and other taxa.",mixed or not inherently biological; spatial extent: national or regional; geography: India.,India.; Observation points and species-page distributions.,Historical knowledge and contemporary observations.; Observation level.,"Observations, images, species information, maps and documents.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.",Compiled from the origins described in the resource documentation and lineage note. Some records may flow through partner organisations to GBIF.,Web portal and project exports where available.; formats: CSV; images; web outputs.; interface: See the official resource documentation for current programmatic interfaces.,User-contributed licences and platform terms.; registration: Not reported in the baseline catalogue.,Actively maintained.,Important South Asian portal and participatory coverage.,Bulk access and data standards less uniform than GBIF. Not reported.,"Indian biodiversity documentation, citizen science and conservation.","Major regional infrastructure.; evidence: high for official fields, otherwise as stated in the verification note",India Biodiversity Portal documentation and platform papers.,retained and standardised; verified 2026-07-14.
Modern species occurrences and observations,,NBN Atlas,National Biodiversity Network Atlas,core,nbn_atlas.png,https://nbnatlas.org/,,"United Kingdom biodiversity portal integrating occurrence records, species information, datasets and spatial layers.",aggregator or federated infrastructure,"Specimen discovery, historical distributions, phenology and collections research.",Biological and palaeontological collections.,mixed or not inherently biological; spatial extent: global; geography: Global specimens held mainly by US institutions.,"Global holdings, US institutional focus.; Specimen records and collection localities.",Historical and modern collections.; Specimen-event level.,"Specimen metadata, images, taxonomy and collection links.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.",Compiled from the origins described in the resource documentation and lineage note. Many records are also published to GBIF; iDigBio retains a collection-centric view.,"Web portal, APIs and bulk downloads.; formats: CSV; JSON; media files.; interface: See the official resource documentation for current programmatic interfaces.",Record-level rights vary; metadata generally open.; registration: Not reported in the baseline catalogue.,Actively maintained.,Strong specimen and image focus with collection provenance.,Substantial GBIF overlap and source-dependent georeferencing. Not reported.,"Specimen discovery, historical distributions, phenology and collections research.","Major collections infrastructure.; evidence: high for official fields, otherwise as stated in the verification note",Nelson & Ellis and iDigBio infrastructure papers.,retained and standardised; verified 2026-07-14.
Modern species occurrences and observations,,OBIS,Ocean Biodiversity Information System,core,obis.jpg,https://obis.org/,,"Global marine biodiversity infrastructure with marine-specific event, depth, measurement and regional-node support.",national occurrence and species-information infrastructure,"UK distributions, recording-scheme synthesis and conservation. UK biodiversity occurrence and recording-scheme analyses.",Taxa recorded by UK biological-recording schemes and collections.,"marine, freshwater and terrestrial; spatial extent: national; geography: United Kingdom and surrounding waters","Occurrence points, datasets and maps; Record-specific",Historical records to current citizen science; Occurrence or event level,"Occurrences, species pages, images, datasets and spatial layers; **records/taxa:** The portal reported hundreds of millions of occurrence records in 2026; use current portal statistics.","National recording schemes, museums, citizen science and government data. Built with Living Atlases technology and shares some records with GBIF.","Web portal, downloads and APIs; formats: Darwin Core, CSV, JSON and GIS; interface: Living Atlases API and tools",Dataset-specific licences and sensitive-record restrictions.; registration: Account may be required for some downloads.,Active.,Rich national recording-scheme context and spatial tools.,"National scope, heterogeneous effort and potential duplication with GBIF. Do not generalise national recording intensity to global patterns.",UK biodiversity occurrence and recording-scheme analyses.,established; evidence: high,NBN Atlas documentation.,added after deep-search audit; verified 2026-07-14.
Modern species occurrences and observations,,biodiversity.aq,SCAR Antarctic Biodiversity Portal,core,biodiversityaq_logo_rgb_height-100.webp,https://www.biodiversity.aq/,,"Antarctic biodiversity portal providing occurrence, environmental and data-discovery services through the Scientific Committee on Antarctic Research.",aggregator or federated infrastructure,"Marine biogeography, SDMs, conservation planning and ocean observing.",Marine taxa from microbes to whales.,"marine; spatial extent: global; geography: Global oceans, uneven by depth, region and taxon.","Global marine.; Occurrence points, events, depth profiles and measurements.",Historical expeditions to present.; Occurrence or sampling event.,"Occurrences, events, measurements, environmental context and metadata.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.","Compiled from the origins described in the resource documentation and lineage note. Receives regional-node data, uses WoRMS taxonomy and overlaps GBIF.","Web mapper, API, R client and bulk/cloud downloads.; formats: Darwin Core; CSV; JSON; Parquet.; interface: See the official resource documentation for current programmatic interfaces.","Dataset-specific open licences, commonly CC0 or CC BY.; registration: Not reported in the baseline catalogue.",Actively maintained.,Marine-specific depth and sampling-event semantics.,"Sampling bias, duplicates with GBIF and variable environmental metadata. Not reported.","Marine biogeography, SDMs, conservation planning and ocean observing.","Foundational marine infrastructure.; evidence: high for official fields, otherwise as stated in the verification note",OBIS infrastructure and manual publications.,retained and standardised; verified 2026-07-14.
Modern species occurrences and observations,,SiB Colombia,SiB Colombia,core,sib_colombia.png,https://sibcolombia.net/,,Colombia's national biodiversity data network and GBIF node.,regional biodiversity data portal and OBIS node,"Polar biodiversity discovery, conservation and Southern Ocean biogeography. Antarctic and Southern Ocean biodiversity modelling.",Marine and terrestrial Antarctic taxa represented by contributing datasets.,"marine, freshwater and terrestrial; spatial extent: continental or regional; geography: Antarctica and the Southern Ocean","Occurrence points, datasets and environmental layers; Record- and dataset-specific",Historical expeditions to recent observations; Occurrence or sampling event,"Occurrences, metadata, maps and linked environmental data; **records/taxa:** Dynamic; counts depend on the portal and OBIS publication status.","Research cruises, collections, monitoring and national Antarctic programmes. Regional node linked to OBIS and SCAR data systems; may overlap GBIF and BIAD records.","Portal, downloads and linked OBIS services; formats: Darwin Core, CSV and GIS products; interface: OBIS-compatible services and portal tools",Dataset-specific open licences and sensitive-data rules.; registration: No account for most public data.,Active regional infrastructure.,Essential polar focus and integrated data discovery.,"Sparse and accessibility-biased sampling; duplicate publication across global aggregators. Do not merge portal, OBIS and GBIF exports without occurrence-level deduplication.",Antarctic and Southern Ocean biodiversity modelling.,established; evidence: high,SCAR Antarctic Biodiversity Portal documentation.,added after deep-search audit; verified 2026-07-14.
Modern species occurrences and observations,,SANBI-GBIF,South African National Biodiversity Institute GBIF Node,core,SANBI logo - 300 dpi RGB.webp,https://www.sanbi-gbif.org/,,National portal and mobilisation network for South African biodiversity records.,primary database or curated data infrastructure,"National inventories, environmental assessment, conservation and indicators.",All taxa represented by Colombian publishers.,"marine, freshwater, terrestrial; spatial extent: national or regional; geography: Colombia.","Colombia terrestrial, freshwater and marine.; Occurrences and sampling events.",Historical to present.; Record and event level.,"Occurrences, checklists, events, metadata and derived products.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.",Compiled from the origins described in the resource documentation and lineage note. National GBIF node; some marine records also in OBIS.,National portal and GBIF publication.; formats: Darwin Core; CSV; APIs.; interface: See the official resource documentation for current programmatic interfaces.,Publisher-selected open licences.; registration: Not reported in the baseline catalogue.,Actively maintained.,Strong curation and national policy relevance.,National scope and duplication with global aggregators. Not reported.,"National inventories, environmental assessment, conservation and indicators.","Leading regional infrastructure.; evidence: high for official fields, otherwise as stated in the verification note",SiB Colombia institutional data publications.,retained and standardised; verified 2026-07-14.
Modern species occurrences and observations,,speciesLink,speciesLink Network,core,specieslink.gif,https://specieslink.net/,,"Brazilian network integrating natural-history collections, observations and images.",primary database or curated data infrastructure,"African inventories, collections, conservation and national reporting.",All taxa published by South African institutions.,"marine, freshwater, terrestrial; spatial extent: continental or regional; geography: South Africa.","South Africa terrestrial, freshwater and marine.; Occurrences and sampling events.",Historical to present.; Occurrence or event level.,"Occurrences, checklists, images and metadata.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.",Compiled from the origins described in the resource documentation and lineage note. National GBIF node; many records mirrored globally.,National portal and GBIF downloads.; formats: Darwin Core; CSV; API.; interface: See the official resource documentation for current programmatic interfaces.,Publisher-selected open licences.; registration: Not reported in the baseline catalogue.,Actively maintained.,Important African institutional network.,"National scope, institutional and taxonomic coverage uneven. Not reported.","African inventories, collections, conservation and national reporting.","Leading African regional infrastructure.; evidence: high for official fields, otherwise as stated in the verification note",SANBI-GBIF institutional documentation.,retained and standardised; verified 2026-07-14.
Modern species occurrences and observations,,VertNet,VertNet,core,VertNet_logo.svg,https://vertnet.org/,,Federated vertebrate specimen and observation records from natural-history collections.,primary database or curated data infrastructure,"Brazilian and Neotropical inventories, collection research and distributions.","Flora, fauna and microorganisms.",mixed or not inherently biological; spatial extent: national or regional; geography: Brazil plus international holdings in member collections.,Brazilian and Neotropical collections.; Specimen and occurrence points.,Historical collections to present.; Individual specimen or observation.,"Occurrences, specimens, images and collection metadata.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.",Compiled from the origins described in the resource documentation and lineage note. Some records are exchanged with GBIF and national systems.,Web search and download.; formats: CSV and web services.; interface: See the official resource documentation for current programmatic interfaces.,Source-specific open licences and citations.; registration: Not reported in the baseline catalogue.,Actively maintained.,Strong Brazilian collection coverage and media.,Variable digitisation quality and overlap with GBIF. Not reported.,"Brazilian and Neotropical inventories, collection research and distributions.","Major regional infrastructure.; evidence: high for official fields, otherwise as stated in the verification note",speciesLink documentation and data papers.,retained and standardised; verified 2026-07-14.
